month,AUC,Sharpe,TotalReturn,N
2023-10,1.0,12.355617818667648,0.09132413107955717,22.0
2023-11,1.0,13.080504810988883,0.14451944790127413,21.0
2023-12,1.0,9.389982744772965,0.07425409306801134,20.0
2024-01,1.0,7.810572351041737,0.09748717795161643,21.0
2024-02,1.0,9.730954362772868,0.056215777485996155,20.0
2024-03,1.0,11.136256259869164,0.09565230850576989,20.0
2024-04,1.0,8.139989950157856,0.1220769356269984,22.0
2024-05,1.0,9.231784584982941,0.18187083855229758,22.0
2024-06,1.0,8.855719912156665,0.19795895768102167,19.0
2024-07,1.0,12.824875628544554,0.16639656258773794,22.0
2024-08,1.0,13.945098805947973,0.13045369662405526,22.0
2024-09,1.0,8.42191832162033,0.10868967853057399,20.0
2024-10,1.0,10.730738474543067,0.1019357059168624,23.0
